,APM,Interpreter,Logging,Data Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App
310,0.15,0.0,0.0,0.02,0.05,0.6933333333333332,0.04,0.38166666666666665,0.013333333333333332,0.3504606060606061,0.5733333333333333,0.03666666666666667,0.4775
30,0.03,0.0,0.04,0.0,0.03,0.8833333333333333,0.04,0.03333333333333333,0.09833333333333333,0.061066666666666665,0.06,0.05666666666666667,0.06
0,0.14,0.02,0.0,0.0,0.0,0.8733333333333333,0.0,0.085,0.0,0.22379393939393938,0.2,0.0,0.22826086956521738
200,0.182,0.02,0.07,0.0,0.0,0.45057142857142857,0.0,0.21666666666666665,0.0,0.7766666666666666,0.8380645161290323,0.04,0.9775
3,0.0,0.0,0.0,0.0,0.5203333333333334,0.97,0.0,0.0,0.0,0.010909090909090908,0.0,0.0,0.02
309,0.09333333333333332,0.0,0.0,0.0,0.0,0.4366164799253034,0.0,0.15333333333333332,0.0,0.7452727272727273,0.7260502558794779,0.1,0.81375
30,0.12999999999999998,0.0,0.0,0.0,0.09333333333333334,0.5196666666666666,0.0,0.22,0.0,0.36633333333333334,0.672,0.22833333333333333,0.8743203933747412
122,0.05333333333333333,0.021333333333333333,0.0,0.02,0.0,0.188,0.0,0.1,0.0,0.79,0.76,0.0,0.91
276,0.15,0.0,0.0,0.01,0.01,0.618904761904762,0.02,0.24333333333333332,0.0,0.3112121212121212,0.7825089605734767,0.02,0.495
347,0.31666666666666665,0.0,0.0,0.0,0.01,0.608,0.06666666666666667,0.34,0.03333333333333333,0.6871272727272728,0.765,0.07,0.8935
10,0.0,0.006666666666666666,0.0,0.0,0.0,0.04666666666666667,0.0,0.17666666666666664,0.0,0.21272727272727274,0.5094444444444445,0.02,0.345
25,0.97,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.01,0.0,0.96,0.98,0.0,1.0
153,0.08933333333333333,0.0,0.0,0.0,0.0,0.1753333333333333,0.0,0.1,0.0,0.21038961038961038,0.5932497013142175,0.0,0.3675
262,0.095,0.013333333333333332,0.015,0.0,0.0,0.30333333333333334,0.0,0.12,0.0,0.48,0.662,0.056666666666666664,0.8
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
340,0.09333333333333332,0.0,0.0,0.0,0.07333333333333333,0.4080952380952381,0.013333333333333332,0.16333333333333336,0.0,0.3944,0.8358080808080808,0.04666666666666666,0.7120833333333334
6,0.026666666666666665,0.01,0.0,0.0,0.0,0.06,0.01,0.145,0.0,0.16,0.17,0.01,0.07
13,0.192,0.0,0.06,0.0,0.0,0.2694285714285714,0.02,0.09,0.0,0.94,0.5030536228828449,0.0,0.986
32,0.07,0.0,0.013333333333333332,0.0,0.0,0.5433333333333333,0.07,0.06,0.08,0.23133333333333334,0.42666666666666664,0.2783333333333333,0.8471428571428572
346,0.11666666666666665,0.0,0.0,0.0,0.0,0.35484523809523805,0.0,0.19666666666666666,0.0,0.6553393939393939,0.8520544151189313,0.02,0.7775
132,0.03333333333333333,0.0,0.05,0.0,0.0,0.09142857142857143,0.0,0.06,0.0,0.5272727272727272,0.415,0.0,0.975
303,0.23433333333333334,0.0,0.0,0.0,0.0,0.4992156862745098,0.0,0.30833333333333335,0.0,0.43439999999999995,0.7492483660130719,0.02333333333333333,0.30064285714285716
116,0.3102857142857143,0.06,0.0,0.03,0.0,0.39375,0.02,0.2533333333333333,0.0,0.76,0.72,0.03,0.96
50,0.04333333333333333,0.0,0.08833333333333332,0.0,0.0,0.20975000000000002,0.0,0.1,0.013333333333333332,0.94,0.18666666666666665,0.02,0.95
59,0.5933333333333333,0.0,0.0,0.06,0.0,0.365,0.0,0.36733333333333335,0.4016666666666666,0.81,0.735,0.32799999999999996,0.9533333333333335
35,0.028333333333333332,0.0,0.0,0.0,0.0,0.325,0.0,0.21,0.0,0.3093939393939394,0.8247311827956989,0.0,0.3733333333333333
230,0.14,0.01,0.0,0.0,0.0,0.18041666666666667,0.0,0.16714285714285712,0.0,0.7944,0.66,0.12,0.88
40,0.03333333333333333,0.0,0.0,0.0,0.0,0.96,0.026666666666666665,0.0,0.01,0.0144,0.02,0.01,0.0
334,0.20666666666666667,0.0,0.02,0.0,0.0,0.48375,0.036000000000000004,0.145,0.0,0.7627272727272727,0.6930303030303031,0.0,0.9121428571428573
127,0.215,0.04666666666666666,0.02,0.01,0.0,0.3405714285714286,0.08,0.04,0.0,0.6763333333333332,0.7205185185185186,0.06,0.92
278,0.838,0.0,0.015,0.0,0.0,0.8072222222222223,0.0,0.0,0.0,0.8847030303030303,0.9331372549019608,0.04,0.94
86,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.054000000000000006,0.0,1.0
182,0.2766666666666666,0.0,0.0,0.0,0.0,0.6638823529411765,0.0,0.14,0.0,0.83,0.82,0.0,0.94
39,0.065,0.0,0.02,0.02,0.0,0.42,0.0,0.06,0.0,0.23803636363636366,0.6651851851851852,0.01,0.32666666666666666
343,0.075,0.0,0.0,0.1,0.0,0.335,0.0,0.16666666666666663,0.0,0.2253090909090909,0.54,0.12,0.395
269,0.15,0.016666666666666666,0.0,0.0,0.0,0.23629901960784314,0.05333333333333333,0.29,0.0,0.5343939393939394,0.8976262626262625,0.0,0.8042608695652175
266,0.16,0.02,0.0,0.01,0.0,0.23,0.02,0.19,0.0,0.39379393939393936,0.6031372549019608,0.04,0.53
143,0.18333333333333335,0.01,0.0,0.02,0.0,0.285,0.0,0.2776666666666667,0.0,0.5793939393939394,0.53,0.01,0.77
318,0.37333333333333335,0.02,0.0,0.01,0.05,0.65,0.0,0.24166666666666664,0.0,0.5466363636363636,0.7892929292929293,0.06,0.7959999999999999
186,0.07,0.0,0.0,0.02,0.0,0.3655555555555555,0.11333333333333333,0.11,0.0,0.5333030303030303,0.7199163679808841,0.0,0.7833333333333333
249,0.05,0.0,0.0,0.026666666666666665,0.0,0.12,0.0,0.325,0.0,0.1903030303030303,0.6665830346475508,0.0,0.3308333333333333
33,0.12666666666666665,0.0,0.0,0.0,0.0,0.465,0.03,0.14666666666666667,0.0,0.4293939393939394,0.7759433040078201,0.013333333333333332,0.47826086956521735
199,0.042,0.0,0.02,0.0,0.0,0.32057142857142856,0.0,0.14333333333333334,0.0,0.7503333333333333,0.7532497013142173,0.04,0.815
80,0.09,0.026666666666666665,0.0,0.01,0.0,0.1,0.0,0.16,0.0,0.12,0.831111111111111,0.0,0.1832608695652174
259,0.21833333333333332,0.0,0.0,0.0,0.0,0.5370833333333334,0.07333333333333333,0.19333333333333333,0.0,0.8343939393939394,0.905,0.10666666666666666,0.9159999999999999
57,0.2316666666666667,0.04,0.0,0.0,0.05,0.23588235294117646,0.013333333333333332,0.12,0.0,0.14136969696969698,0.836111111111111,0.08666666666666666,0.3103442028985507
270,0.2383333333333333,0.0,0.0,0.0,0.0,0.17,0.02,0.2571428571428572,0.0,0.64,0.75,0.04,0.665
210,0.4643333333333334,0.0,0.0,0.032,0.0,0.4144285714285713,0.0,0.7539999999999999,0.0,0.5393333333333332,0.7349999999999999,0.02,0.8585952380952381
297,0.05333333333333333,0.0,0.0,0.0,0.065,0.40666666666666673,0.0,0.255,0.0,0.3536363636363636,0.7138280336572557,0.07066666666666667,0.45826086956521733
5,0.21999999999999997,0.0,0.0,0.0,0.0,0.4542156862745098,0.02,0.09666666666666668,0.0,0.30803636363636366,0.8922786690433749,0.14,0.31625
72,0.08333333333333331,0.0,0.07333333333333333,0.01,0.0,0.23800000000000002,0.0,0.14,0.013333333333333332,0.96,0.10333333333333332,0.02,0.95
248,0.37,0.0,0.0,0.08199999999999999,0.0,0.20142857142857146,0.0,0.124,0.02,0.8516666666666667,0.685,0.027999999999999997,0.8875
6,0.7883333333333333,0.0,0.0,0.06,0.0,0.6883333333333335,0.0,0.4873333333333333,0.5816666666666667,0.83,0.755,0.518,0.9533333333333335
187,0.085,0.02,0.0,0.0,0.0,0.2033333333333333,0.02,0.11333333333333333,0.0,0.7593939393939394,0.2701111111111111,0.02,0.89
333,0.20666666666666667,0.0,0.02,0.0,0.0,0.48375,0.036000000000000004,0.145,0.0,0.7627272727272727,0.6930303030303031,0.0,0.9121428571428573
22,0.18,0.02,0.0,0.03266666666666666,0.0,0.2913333333333334,0.01,0.4233333333333333,0.0,0.31606060606060604,0.91,0.04,0.6066666666666667
93,0.0,0.011428571428571429,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0
96,0.82,0.02,0.0,0.6233333333333334,0.0,0.7866666666666666,0.0,0.7633333333333334,0.0,0.9260606060606061,0.9,0.516,0.9382608695652174
195,0.22833333333333333,0.0,0.06,0.0,0.0,0.4100952380952381,0.0,0.22,0.0,0.9236363636363636,0.555,0.0,0.9575
255,0.035,0.02333333333333333,0.0,0.0,0.0,0.2533333333333333,0.0,0.10166666666666666,0.0,0.4003030303030303,0.6415151515151516,0.02333333333333333,0.41
44,0.192,0.0,0.08,0.0,0.04,0.1814285714285714,0.02,0.09,0.0,0.89,0.43305362288284494,0.0,0.946
284,0.12300000000000001,0.02,0.0,0.0,0.0,0.28,0.01,0.11166666666666666,0.0,0.6717532467532468,0.79,0.02,0.91
8,0.02,0.0,0.5116666666666666,0.0,0.0,0.11175,0.0,0.0,0.0,0.9,0.09,0.0,0.96
271,0.02,0.026666666666666665,0.0,0.0,0.0,0.3266666666666667,0.0,0.15,0.0,0.425,0.7153333333333333,0.02,0.85
99,0.7283333333333333,0.0,0.0,0.6253333333333333,0.0,0.5630952380952382,0.0,0.09,0.02,0.8266666666666667,0.8946666666666667,0.01,0.8475
60,0.37,0.055,0.0,0.07200000000000001,0.0,0.3892156862745098,0.0,0.3053333333333333,0.0,0.16,0.746111111111111,0.10333333333333333,0.3003442028985507
15,0.02,0.0,0.0,0.02,0.0,0.36666666666666664,0.0,0.03,0.0,0.26,0.6919999999999998,0.1,0.3683333333333333
253,0.37,0.0,0.0,0.08199999999999999,0.0,0.20142857142857146,0.0,0.124,0.02,0.8516666666666667,0.685,0.027999999999999997,0.8875
160,0.06166666666666666,0.0,0.006666666666666666,0.0,0.0,0.345,0.01,0.02,0.0,0.5500865800865801,0.8818518518518519,0.0,0.8675
90,0.71,0.5533333333333333,0.0,0.6793333333333333,0.0,0.84,0.0,0.7226666666666667,0.0,0.82,0.93,0.5533333333333332,0.96
90,0.9179999999999999,0.02,0.015,0.0,0.0,0.884,0.0,0.02,0.0,0.9743999999999999,0.9364705882352942,0.0,1.0
282,0.36333333333333334,0.0,0.0,0.0,0.01,0.7366666666666667,0.03,0.49333333333333335,0.0,0.6703030303030303,0.7733333333333334,0.06,0.7613333333333334
189,0.6036666666666667,0.0,0.5166666666666667,0.0,0.0,0.6617619047619049,0.0,0.12,0.0,0.9094805194805196,0.8765830346475508,0.0,0.9475
7,0.838,0.0,0.015,0.0,0.0,0.8072222222222223,0.0,0.0,0.0,0.8847030303030303,0.9331372549019608,0.04,0.94
268,0.155,0.005,0.0,0.0,0.0,0.2939047619047619,0.0,0.17,0.0,0.385,0.7033333333333335,0.0,0.76
